FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
409, 0.017398, 160, 3, 10, 300, 1600, 900, 
410, 0.017322, 160, 3, 10, 300, 1600, 900, 
411, 0.017397, 160, 3, 10, 300, 1600, 900, 
412, 0.016387, 160, 3, 10, 300, 1600, 900, 
413, 0.017480, 160, 3, 10, 300, 1600, 900, 
414, 0.017545, 160, 3, 10, 300, 1600, 900, 
415, 0.017169, 160, 3, 10, 300, 1600, 900, 
416, 0.017207, 160, 3, 10, 300, 1600, 900, 
417, 0.017210, 160, 3, 10, 300, 1600, 900, 
418, 0.017700, 160, 3, 10, 300, 1600, 900, 
419, 0.016910, 160, 3, 10, 300, 1600, 900, 
420, 0.017656, 160, 3, 10, 300, 1600, 900, 
421, 0.017334, 160, 3, 10, 300, 1600, 900, 
422, 0.017592, 160, 3, 10, 300, 1600, 900, 
423, 0.017309, 160, 3, 10, 300, 1600, 900, 
424, 0.017422, 160, 3, 10, 300, 1600, 900, 
425, 0.017335, 160, 3, 10, 300, 1600, 900, 
426, 0.017293, 160, 3, 10, 300, 1600, 900, 
427, 0.017675, 160, 3, 10, 300, 1600, 900, 
428, 0.016904, 160, 3, 10, 300, 1600, 900, 
429, 0.017574, 160, 3, 10, 300, 1600, 900, 
430, 0.017299, 160, 3, 10, 300, 1600, 900, 
431, 0.017434, 160, 3, 10, 300, 1600, 900, 
432, 0.017441, 160, 3, 10, 300, 1600, 900, 
433, 0.017407, 160, 3, 10, 300, 1600, 900, 
434, 0.017459, 160, 3, 10, 300, 1600, 900, 
435, 0.017457, 160, 3, 10, 300, 1600, 900, 
436, 0.016475, 160, 3, 10, 300, 1600, 900, 
437, 0.017533, 160, 3, 10, 300, 1600, 900, 
438, 0.016138, 160, 3, 10, 300, 1600, 900, 
439, 0.017457, 160, 3, 10, 300, 1600, 900, 
440, 0.017151, 160, 3, 10, 300, 1600, 900, 
441, 0.017730, 160, 3, 10, 300, 1600, 900, 
442, 0.017297, 160, 3, 10, 300, 1600, 900, 
443, 0.017424, 160, 3, 10, 300, 1600, 900, 
444, 0.017368, 160, 3, 10, 300, 1600, 900, 
445, 0.017430, 160, 3, 10, 300, 1600, 900, 
446, 0.017416, 160, 3, 10, 300, 1600, 900, 
447, 0.017404, 160, 3, 10, 300, 1600, 900, 
448, 0.017290, 160, 3, 10, 300, 1600, 900, 
449, 0.017305, 160, 3, 10, 300, 1600, 900, 
450, 0.017273, 160, 3, 10, 300, 1600, 900, 
451, 0.017519, 160, 3, 10, 300, 1600, 900, 
452, 0.017323, 160, 3, 10, 300, 1600, 900, 
453, 0.017607, 160, 3, 10, 300, 1600, 900, 
454, 0.017397, 160, 3, 10, 300, 1600, 900, 
455, 0.016583, 160, 3, 10, 300, 1600, 900, 
456, 0.017352, 160, 3, 10, 300, 1600, 900, 
457, 0.017133, 160, 3, 10, 300, 1600, 900, 
458, 0.017324, 160, 3, 10, 300, 1600, 900, 
459, 0.017519, 160, 3, 10, 300, 1600, 900, 
460, 0.017447, 160, 3, 10, 300, 1600, 900, 
461, 0.017622, 160, 3, 10, 300, 1600, 900, 
462, 0.017282, 160, 3, 10, 300, 1600, 900, 
463, 0.016257, 160, 3, 10, 300, 1600, 900, 
464, 0.017432, 160, 3, 10, 300, 1600, 900, 
465, 0.017311, 160, 3, 10, 300, 1600, 900, 
466, 0.017107, 160, 3, 10, 300, 1600, 900, 
467, 0.016683, 160, 3, 10, 300, 1600, 900, 
468, 0.016352, 160, 3, 10, 300, 1600, 900, 
